Description,Image,Gender,Specifications
Cotton T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30245665/2024/7/19/c4627d65-2fa2-47af-97f4-5f1b1d97875a1721364449495HMCottonT-Shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Camouflage Print Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10958388/2023/10/17/cdfa26cc-62aa-4850-afae-f2d1b6d9ed461697527165105-Roadster-Women-Pink--Green-Camouflage-Print-Round-Neck-Pure--7.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Utility or Military Inspired', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed'}"
Women Striped Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12194412/2021/1/6/f7d07f9f-4c4c-4be8-90fa-7ee9c26f19a91609926321328-Roadster-Women-Tops-671609926319446-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Occasion': 'Casual', 'Pattern': 'Striped'}"
Solid Cotton Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13607132/2021/2/11/119495b1-d60a-4cac-8c18-25082ec72fa21613017627817CottonT-shirt1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Solid'}"
Women Graphic Joyful Conversation T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/4/BPB9DflW_1b9c5acadb35433894311da97671ce5e.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed'}"
Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27043274/2024/4/17/6f99e2ce-95ed-4d39-a2b0-d0585321a6ac1713336078459-Roadster-Women-Tshirts-5161713336078031-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Ribbed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26658588/2023/12/29/e976e86a-e5f4-456b-8a26-1f7b5b0b13501703835096677-Kook-N-Keech-Women-Tshirts-4561703835096283-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
V-Neck Casual T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28011208/2024/3/4/53fd7b41-d784-413f-9fe1-4a602aeb1fcf1709528359332COLORCAPITALTop1.jpg",women,"{'Fabric': 'Viscose Rayon', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Fitted T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30064786/2024/6/28/934b70e5-23e4-4d07-bbfc-79f885121c621719571791973HMFittedT-Shirt1.jpg",women,"{'Fabric': 'Polyester', 'Fabric 2': 'Elastane', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30047101/2024/9/12/dcc93d47-af4a-49c1-8007-865b173ba04a1726135778956-DressBerry-Women-Tshirts-6221726135778530-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
