description,image_url,gender,item_type,specifications
Cotton Regular Fit T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30154557/2024/7/8/764634ee-711c-4dde-aff0-1eb2e289db511720462734283HMPureCottonRegularFitT-Shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Printed Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'Typography or Slogan Print', 'neck': 'Round Neck'}"
Solid Round Lounge T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12027428/2020/11/23/4f6be415-c536-49e5-bc78-534dade9cd2d1606116792652-Levis-Men-Grey-Melange-Solid-Pure-Cotton-V-Neck-Lounge-T-shi-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'neck': 'Round Neck', 'pattern': 'Solid', 'sleeve_length': 'Short Sleeves', 'type': 'Regular'}"
Men Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27387452/2024/2/12/6e4ebdf2-b754-4dbf-93db-89d41961749f1707739470386-Kook-N-Keech-Men-Tshirts-9621707739469997-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar'}"
Pure Cotton Slim Fit T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25695612/2023/10/31/bc2fe960-3040-4fe6-b716-1a98240213741698744968059JackJonesMenBlackV-NeckSlimFitT-shirt1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Slim Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Colourblocked Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8325363/2019/2/28/2a1f7eaf-2b5a-4603-92bf-68338c8e62a81551350773509-Mast--Harbour-Men-Tshirts-7711551350771785-1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Colourblocked', 'neck': 'Polo Collar', 'occasion': 'Casual', 'pattern': 'Colourblocked'}"
Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29808712/2024/5/25/377cd21b-6caf-4e1d-b9a6-fd3394bfcdc31716660446173ManiacMenPoloCollarPocketsT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar'}"
Men Henley Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18346810/2022/5/26/12943ac2-c4cd-4071-8ccc-b5b46c99a0741653565118675-Roadster-Men-Tshirts-781653565118232-1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Henley Neck', 'occasion': 'Casual'}"
Round Neck Lounge Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22553204/2023/3/29/e5d58b58-2e71-4f96-97cc-74e4b5612b601680073802575USPoloAssnTriBlendBrandStripeLE005LoungeT-Shirt-PackOf1NAVYS1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'neck': 'Round Neck', 'pattern': 'Solid', 'sleeve_length': 'Short Sleeves', 'type': 'Regular'}"
Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/26/twqqe6je_75574344351047af911020475e8d17f5.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Relaxed Fit', 'length': 'Regular', 'main_trend': 'Typography or Slogan Print', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Cotton Colourblocked T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12904100/2022/2/17/39ce5d73-e1a7-4546-95c5-0bfd3f0475a61645087486982-Roadster-Men-Green--White-Pure-Cotton-Colourblocked-Polo-Col-1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Colourblocked', 'neck': 'Polo Collar', 'occasion': 'Casual'}"
Polo Collar Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25181282/2023/9/27/f2fcdc16-e14f-4948-825a-b7eeb0de6e2b1695786781516RigoMenBlackV-NeckPocketsT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar', 'occasion': 'Casual'}"
